Row No,Entity Name,Field Name,Description,API / CSV
742,PRINCIPALS,num_investments,Total number of Investments made,API & CSV
743,PRINCIPALS,num_investors,Total number of investment firms and individual investors,API & CSV
744,PRINCIPALS,num_jobs,Total number of Jobs the person has,API & CSV
745,PRINCIPALS,num_lead_investments,Number of Investments led by the Person,API & CSV
746,PRINCIPALS,num_lead_investors,Total number of lead investment firms and individual investors,API & CSV
747,PRINCIPALS,num_partner_investments,Number of Investments the Individual has partnered in,API & CSV
748,PRINCIPALS,num_portfolio_organizations,Total number of portfolio organizations,API & CSV
749,PRINCIPALS,operating_status,"Operating Status of Organization e.g. Active, Closed",API & CSV
750,PRINCIPALS,permalink,,API & CSV
751,PRINCIPALS,permalink_aliases,Alternative aliases to the primary permalink of the organization or person,API & CSV
752,PRINCIPALS,phone_number,General phone number of the organization or person,API & CSV
753,PRINCIPALS,primary_job_title,"The person's primary job title (e.g. CEO, Chief Architect, Product Manager)",API & CSV
754,PRINCIPALS,primary_organization,The organization associated to the person's primary job,API & CSV
755,PRINCIPALS,program_application_deadline,The deadline for applying to the Accelerator Program,API & CSV
756,PRINCIPALS,program_duration,The duration of the Acceleration Program in number of weeks,API & CSV
757,PRINCIPALS,program_type,"The type of Accelerator Program (e.g. On-Site, Online)",API & CSV
758,PRINCIPALS,rank,Algorithmic rank assigned to the top profiles on Crunchbase,API & CSV
759,PRINCIPALS,rank_delta_d30,Movement in Rank over the last 30 days using a score from -10 to 10,API & CSV
760,PRINCIPALS,rank_delta_d7,Movement in Rank over the last 7 days using a score from -10 to 10,API & CSV
761,PRINCIPALS,rank_delta_d90,Movement in Rank over the last 90 days using a score from -10 to 10,API & CSV
762,PRINCIPALS,revenue_range,Estimated Revenue Range for Organizations,API & CSV
763,PRINCIPALS,school_method,"The type of School Method (e.g. On Campus, Online)",API & CSV
764,PRINCIPALS,school_program,"The type of School Program (e.g. Bootcamp, Four Year University)",API & CSV
765,PRINCIPALS,school_type,"The type of School (e.g. Public, Private)",API & CSV
766,PRINCIPALS,short_description,"Text of Organization or Person Description, Industries, and Industry Groups",API & CSV
767,PRINCIPALS,status,"Status of Organization e.g. Operating, Closed, Acquired, IPO",API & CSV
768,PRINCIPALS,stock_exchange_symbol,"Stock exchange where the Organization is listed e.g. NYSE, NASDAQ",API & CSV
769,PRINCIPALS,stock_symbol,"Stock ticker symbol (e.g. AAPL, FB, TWTR)",API & CSV
770,PRINCIPALS,twitter,Link to an organization/person's X page,API & CSV
771,PRINCIPALS,updated_at,,API & CSV
772,PRINCIPALS,uuid,,API & CSV
773,PRINCIPALS,website,Link to homepage,API & CSV
774,PRINCIPALS,website_url,Link to homepage,API & CSV
775,PRINCIPALS,went_public_on,The date when the Organization went public,API & CSV
776,PRODUCTS,created_at,,API & CSV
777,PRODUCTS,description,Product description,API & CSV
778,PRODUCTS,discontinuation_sentiment,Sentiment associated with product discontinuation,API & CSV
779,PRODUCTS,entity_def_id,Product,API & CSV
780,PRODUCTS,identifier,Name of the product,API & CSV
781,PRODUCTS,launch_sentiment,Sentiment associated with product launch,API & CSV
782,PRODUCTS,local_rank,Rank relative to this organization's other products,API & CSV
783,PRODUCTS,micro_categories,Micro-Industries associated with this product,API & CSV
784,PRODUCTS,organization,Unique identifier for the organization associated with this product,API & CSV
785,PRODUCTS,updated_at,,API & CSV
786,PRODUCTS,uuid,,API & CSV
787,PRODUCT_LAUNCHES,created_at,Time of Creation,API & CSV
788,PRODUCT_LAUNCHES,description,Brief summary of context,API & CSV
789,PRODUCT_LAUNCHES,entity_def_id,Entity Def Type,API & CSV
790,PRODUCT_LAUNCHES,identifier,Product launch identifier,API & CSV
791,PRODUCT_LAUNCHES,key_event_date,Date when the news article was posted,API & CSV
792,PRODUCT_LAUNCHES,organization,Organization that had a product launch mentioned,API & CSV
793,PRODUCT_LAUNCHES,press_reference_link,Title of the news article,API & CSV
794,PRODUCT_LAUNCHES,updated_at,Time of Update,API & CSV
795,PRODUCT_LAUNCHES,uuid,UUID,API & CSV
796,PRODUCT_SIMILARITIES,created_at,,API & CSV
797,PRODUCT_SIMILARITIES,entity_def_id,Product Similarity,API & CSV
798,PRODUCT_SIMILARITIES,identifier,Product Similarity,API & CSV
799,PRODUCT_SIMILARITIES,source,,API & CSV
800,PRODUCT_SIMILARITIES,target,,API & CSV
801,PRODUCT_SIMILARITIES,target_organization,,API & CSV
802,PRODUCT_SIMILARITIES,updated_at,,API & CSV
803,PRODUCT_SIMILARITIES,uuid,,API & CSV
804,REMAIN_PRIVATE_PREDICTIONS,created_at,Time of Creation,API & CSV
805,REMAIN_PRIVATE_PREDICTIONS,entity_def_id,Entity Def Type,API & CSV
806,REMAIN_PRIVATE_PREDICTIONS,example_funding_round,An example of a similar company in the same industry that had a Funding Round in the last 6 months,API & CSV
807,REMAIN_PRIVATE_PREDICTIONS,example_ipo,An example of a similar company in the same industry that had an IPO in the last 6 months,API & CSV
808,REMAIN_PRIVATE_PREDICTIONS,generated_on,Date on which this No Exit Prediction was generated,API & CSV
809,REMAIN_PRIVATE_PREDICTIONS,growth_insight,The Growth Insight linked to this No Exit Prediction.,API & CSV
810,REMAIN_PRIVATE_PREDICTIONS,identifier,No Exit Prediction Title,API & CSV
811,REMAIN_PRIVATE_PREDICTIONS,key_employee_change,"There has been a change to the executive team's composition (hire, departure, or promotion)",API & CSV
812,REMAIN_PRIVATE_PREDICTIONS,key_leadership_hire,A new C-level Officer (CXO) was hired in the last 12 months,API & CSV
813,REMAIN_PRIVATE_PREDICTIONS,media_sentiment,A sudden increase in media coverage with positive sentiment in the last 12 months,API & CSV
814,REMAIN_PRIVATE_PREDICTIONS,organization,Unique identifier for the organization associated with this No Exit prediction,API & CSV
815,REMAIN_PRIVATE_PREDICTIONS,probability_score,The predicted probability that this Organization will remain private,API & CSV
816,REMAIN_PRIVATE_PREDICTIONS,probability_tier,The predicted probability of remaining private for this organization is divided into distinct tiers that quantify the likelihood of this event.,API & CSV
817,REMAIN_PRIVATE_PREDICTIONS,unicorn_status,Achieved unicorn status in the last 12 months,API & CSV
818,REMAIN_PRIVATE_PREDICTIONS,updated_at,Time of Update,API & CSV
819,REMAIN_PRIVATE_PREDICTIONS,uuid,UUID,API & CSV
820,RESEARCH_INSIGHTS,created_at,,API & CSV
821,RESEARCH_INSIGHTS,description,A concise text statement highlighting the company's recent research and development,API & CSV
822,RESEARCH_INSIGHTS,entity_def_id,Research and Development Insight,API & CSV
823,RESEARCH_INSIGHTS,generated_on,Date on which this insight was generated,API & CSV
824,RESEARCH_INSIGHTS,identifier,Name of the Research and Development Insight,API & CSV
825,RESEARCH_INSIGHTS,organization,Unique identifier for the organization associated with this research insight,API & CSV
826,RESEARCH_INSIGHTS,updated_at,,API & CSV
827,RESEARCH_INSIGHTS,uuid,,API & CSV
